timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2020,usa < newMexico,usa < texas,power,9.176271790633557,expExc
10th < 2015,usa < newMexico,usa < utah,power,2.0340605008402686,expExc
10th < 2020,usa < newMexico,usa < utah,power,2.0340605008402686,expExc
10th < 2015,usa < newYork,usa < pennsylvania,power,1.2609162263364326,expExc
10th < 2020,usa < newYork,usa < pennsylvania,power,1.2609162263364326,expExc
10th < 2015,usa < newYork,usa < rhodeIsland,power,1.278913674325457e-9,expExc
10th < 2020,usa < newYork,usa < rhodeIsland,power,1.278913674325457e-9,expExc
10th < 2015,usa < newYork,usa < vermont,power,9.872039728438184e-12,expExc
10th < 2020,usa < newYork,usa < vermont,power,9.872039728438184e-12,expExc
10th < 2015,usa < northCarolina,usa < southCarolina,power,9.999147540440802e-12,expExc
10th < 2020,usa < northCarolina,usa < southCarolina,power,9.999147540440802e-12,expExc
10th < 2015,usa < northCarolina,usa < tennessee,power,1.038279145345843e-11,expExc
10th < 2020,usa < northCarolina,usa < tennessee,power,1.038279145345843e-11,expExc
10th < 2015,usa < northCarolina,usa < virginia,power,1.187097256058829,expExc
10th < 2020,usa < northCarolina,usa < virginia,power,1.187097256058829,expExc
10th < 2015,usa < northDakota,usa < southDakota,power,9.997203866384901e-12,expExc
10th < 2020,usa < northDakota,usa < southDakota,power,9.997203866384901e-12,expExc
10th < 2015,usa < ohio,usa < pennsylvania,power,7.719529164176514e-11,expExc
10th < 2020,usa < ohio,usa < pennsylvania,power,7.719529164176514e-11,expExc
10th < 2015,usa < ohio,usa < westVirginia,power,1.7282493035168909,expExc
10th < 2020,usa < ohio,usa < westVirginia,power,1.7282493035168909,expExc
10th < 2015,usa < oklahoma,usa < texas,power,2.1512043024264447e-11,expExc
10th < 2020,usa < oklahoma,usa < texas,power,2.1512043024264447e-11,expExc
10th < 2015,usa < oregon,usa < washington,power,0.04139039853184323,expExc
10th < 2020,usa < oregon,usa < washington,power,0.04139039853184323,expExc
10th < 2015,usa < pennsylvania,usa < westVirginia,power,2.088909247627528e-11,expExc
10th < 2020,usa < pennsylvania,usa < westVirginia,power,2.088909247627528e-11,expExc
10th < 2015,usa < southDakota,usa < wyoming,power,1.4306597579498872e-11,expExc
10th < 2020,usa < southDakota,usa < wyoming,power,1.4306597579498872e-11,expExc
10th < 2015,usa < tennessee,usa < virginia,power,8.259569650560278e-10,expExc
10th < 2020,usa < tennessee,usa < virginia,power,8.259569650560278e-10,expExc
10th < 2015,usa < utah,usa < wyoming,power,1.632274056454036,expExc
10th < 2020,usa < utah,usa < wyoming,power,1.632274056454036,expExc
10th < 2015,usa < virginia,usa < westVirginia,power,1.1641672642226395e-11,expExc
10th < 2020,usa < virginia,usa < westVirginia,power,1.1641672642226395e-11,expExc
20th < 2025,canada < canada_,usa < idaho,power,8.891843033186427e-12,expExc
20th < 2030,canada < canada_,usa < idaho,power,8.891843033186427e-12,expExc
