region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
usa,arizona,res,wind,q2m,avaConv,0.102166667
usa,arizona,res,wind,q2p,avaConv,0.131391667
usa,arizona,res,wind,q2a,avaConv,0.243537396
usa,arizona,res,wind,q3n,avaConv,0.260647131
usa,arizona,res,wind,q3m,avaConv,0.17185348
usa,arizona,res,wind,q3p,avaConv,0.214016484
usa,arizona,res,wind,q3a,avaConv,0.285596154
usa,arizona,res,wind,q4n,avaConv,0.31313831
usa,arizona,res,wind,q4m,avaConv,0.211032967
usa,arizona,res,wind,q4p,avaConv,0.27109478
usa,arizona,res,wind,q4a,avaConv,0.368169118
usa,wyoming,res,wind,q1n,avaConv,0.310533333
usa,wyoming,res,wind,q1m,avaConv,0.185137037
usa,wyoming,res,wind,q1p,avaConv,0.256402778
usa,wyoming,res,wind,q1a,avaConv,0.355352778
usa,wyoming,res,wind,q2n,avaConv,0.2311644
usa,wyoming,res,wind,q2m,avaConv,0.102166667
usa,wyoming,res,wind,q2p,avaConv,0.131391667
usa,wyoming,res,wind,q2a,avaConv,0.243537396
usa,wyoming,res,wind,q3n,avaConv,0.260647131
usa,wyoming,res,wind,q3m,avaConv,0.17185348
usa,wyoming,res,wind,q3p,avaConv,0.214016484
usa,wyoming,res,wind,q3a,avaConv,0.285596154
usa,wyoming,res,wind,q4n,avaConv,0.31313831
usa,wyoming,res,wind,q4m,avaConv,0.211032967
usa,wyoming,res,wind,q4p,avaConv,0.27109478
usa,wyoming,res,wind,q4a,avaConv,0.368169118
usa,colorado,res,wind,q1n,avaConv,0.310533333
usa,colorado,res,wind,q1m,avaConv,0.185137037
usa,colorado,res,wind,q1p,avaConv,0.256402778
usa,colorado,res,wind,q1a,avaConv,0.355352778
usa,colorado,res,wind,q2n,avaConv,0.2311644
usa,colorado,res,wind,q2m,avaConv,0.102166667
usa,colorado,res,wind,q2p,avaConv,0.131391667
usa,colorado,res,wind,q2a,avaConv,0.243537396
usa,colorado,res,wind,q3n,avaConv,0.260647131
usa,colorado,res,wind,q3m,avaConv,0.17185348
usa,colorado,res,wind,q3p,avaConv,0.214016484
usa,colorado,res,wind,q3a,avaConv,0.285596154
usa,colorado,res,wind,q4n,avaConv,0.31313831
usa,colorado,res,wind,q4m,avaConv,0.211032967
usa,colorado,res,wind,q4p,avaConv,0.27109478
usa,colorado,res,wind,q4a,avaConv,0.368169118
usa,newMexico,res,wind,q1n,avaConv,0.310533333
usa,newMexico,res,wind,q1m,avaConv,0.185137037
usa,newMexico,res,wind,q1p,avaConv,0.256402778
usa,newMexico,res,wind,q1a,avaConv,0.355352778
usa,newMexico,res,wind,q2n,avaConv,0.2311644
usa,newMexico,res,wind,q2m,avaConv,0.102166667
usa,newMexico,res,wind,q2p,avaConv,0.131391667
usa,newMexico,res,wind,q2a,avaConv,0.243537396
usa,newMexico,res,wind,q3n,avaConv,0.260647131
usa,newMexico,res,wind,q3m,avaConv,0.17185348
usa,newMexico,res,wind,q3p,avaConv,0.214016484
usa,newMexico,res,wind,q3a,avaConv,0.285596154
usa,newMexico,res,wind,q4n,avaConv,0.31313831
usa,newMexico,res,wind,q4m,avaConv,0.211032967
usa,newMexico,res,wind,q4p,avaConv,0.27109478
usa,newMexico,res,wind,q4a,avaConv,0.368169118
usa,northDakota,res,wind,q1n,avaConv,0.310533333
