region_2,technology_4,timestep_2,parameter,value
southCarolina,hltGas,2030,capaConvResi,1.5693
southDakota,hltGas,2030,capaConvResi,0.4846
tennessee,hltGas,2030,capaConvResi,1.2773
texas,hltGas,2030,capaConvResi,9.074
utah,hltGas,2030,capaConvResi,2.031
vermont,hltGas,2030,capaConvResi,0.8805
virginia,hltGas,2030,capaConvResi,2.4646
washington,hltGas,2030,capaConvResi,2.8139
westVirginia,hltGas,2030,capaConvResi,1.0262
wisconsin,hltGas,2030,capaConvResi,3.2024
wyoming,hltGas,2030,capaConvResi,0.5271
alabama,hltGas,2035,capaConvResi,0.4899
arizona,hltGas,2035,capaConvResi,1.4673
arkansas,hltGas,2035,capaConvResi,0.5776
california,hltGas,2035,capaConvResi,6.5794
colorado,hltGas,2035,capaConvResi,2.2599
connecticut,hltGas,2035,capaConvResi,1.3147
delaware,hltGas,2035,capaConvResi,0.1499
florida,hltGas,2035,capaConvResi,3.2719
georgia,hltGas,2035,capaConvResi,1.4857
idaho,hltGas,2035,capaConvResi,0.6777
illinois,hltGas,2035,capaConvResi,3.2045
indiana,hltGas,2035,capaConvResi,1.7122
iowa,hltGas,2035,capaConvResi,0.8716
kansas,hltGas,2035,capaConvResi,0.7978
kentucky,hltGas,2035,capaConvResi,0.4323
louisiana,hltGas,2035,capaConvResi,0.868
maine,hltGas,2035,capaConvResi,0.9822
maryland,hltGas,2035,capaConvResi,0.8646
massachusetts,hltGas,2035,capaConvResi,3.8329
michigan,hltGas,2035,capaConvResi,2.7419
minnesota,hltGas,2035,capaConvResi,1.5253
mississippi,hltGas,2035,capaConvResi,0.2872
missouri,hltGas,2035,capaConvResi,1.7474
montana,hltGas,2035,capaConvResi,0.4834
nebraska,hltGas,2035,capaConvResi,0.5222
nevada,hltGas,2035,capaConvResi,0.6055
newHampshire,hltGas,2035,capaConvResi,0.8386
newJersey,hltGas,2035,capaConvResi,3.71
newMexico,hltGas,2035,capaConvResi,0.4579
newYork,hltGas,2035,capaConvResi,8.4731
northCarolina,hltGas,2035,capaConvResi,1.5956
northDakota,hltGas,2035,capaConvResi,0.2312
ohio,hltGas,2035,capaConvResi,3.1073
oklahoma,hltGas,2035,capaConvResi,0.733
oregon,hltGas,2035,capaConvResi,0.8079
pennsylvania,hltGas,2035,capaConvResi,5.7843
rhodeIsland,hltGas,2035,capaConvResi,0.6232
southCarolina,hltGas,2035,capaConvResi,0.7847
southDakota,hltGas,2035,capaConvResi,0.2423
tennessee,hltGas,2035,capaConvResi,0.6387
texas,hltGas,2035,capaConvResi,4.537
utah,hltGas,2035,capaConvResi,1.0155
vermont,hltGas,2035,capaConvResi,0.4403
virginia,hltGas,2035,capaConvResi,1.2323
washington,hltGas,2035,capaConvResi,1.407
westVirginia,hltGas,2035,capaConvResi,0.5131
wisconsin,hltGas,2035,capaConvResi,1.6012
wyoming,hltGas,2035,capaConvResi,0.2636
alabama,hltElectricFurnace,2015,capaConvResi,0.3882
arizona,hltElectricFurnace,2015,capaConvResi,2.7105
arkansas,hltElectricFurnace,2015,capaConvResi,0.3596
california,hltElectricFurnace,2015,capaConvResi,3.8075
colorado,hltElectricFurnace,2015,capaConvResi,4.1748
connecticut,hltElectricFurnace,2015,capaConvResi,3.4024
delaware,hltElectricFurnace,2015,capaConvResi,0.0775
florida,hltElectricFurnace,2015,capaConvResi,1.6902
georgia,hltElectricFurnace,2015,capaConvResi,0.7675
idaho,hltElectricFurnace,2015,capaConvResi,1.2519
illinois,hltElectricFurnace,2015,capaConvResi,2.9462
indiana,hltElectricFurnace,2015,capaConvResi,1.5742
iowa,hltElectricFurnace,2015,capaConvResi,1.0473
kansas,hltElectricFurnace,2015,capaConvResi,0.9587
kentucky,hltElectricFurnace,2015,capaConvResi,0.3426
louisiana,hltElectricFurnace,2015,capaConvResi,0.5403
maine,hltElectricFurnace,2015,capaConvResi,2.5418
maryland,hltElectricFurnace,2015,capaConvResi,0.4466
massachusetts,hltElectricFurnace,2015,capaConvResi,9.9194
michigan,hltElectricFurnace,2015,capaConvResi,2.5209
minnesota,hltElectricFurnace,2015,capaConvResi,1.8328
mississippi,hltElectricFurnace,2015,capaConvResi,0.2276
missouri,hltElectricFurnace,2015,capaConvResi,2.0997
montana,hltElectricFurnace,2015,capaConvResi,0.8929
nebraska,hltElectricFurnace,2015,capaConvResi,0.6274
nevada,hltElectricFurnace,2015,capaConvResi,1.1185
newHampshire,hltElectricFurnace,2015,capaConvResi,2.1702
newJersey,hltElectricFurnace,2015,capaConvResi,6.1393
newMexico,hltElectricFurnace,2015,capaConvResi,0.8459
newYork,hltElectricFurnace,2015,capaConvResi,14.0216
northCarolina,hltElectricFurnace,2015,capaConvResi,0.8243
northDakota,hltElectricFurnace,2015,capaConvResi,0.2778
ohio,hltElectricFurnace,2015,capaConvResi,2.8568
oklahoma,hltElectricFurnace,2015,capaConvResi,0.4563
oregon,hltElectricFurnace,2015,capaConvResi,0.4675
pennsylvania,hltElectricFurnace,2015,capaConvResi,9.572
rhodeIsland,hltElectricFurnace,2015,capaConvResi,1.6127
southCarolina,hltElectricFurnace,2015,capaConvResi,0.4054
southDakota,hltElectricFurnace,2015,capaConvResi,0.2912
tennessee,hltElectricFurnace,2015,capaConvResi,0.5061
texas,hltElectricFurnace,2015,capaConvResi,2.8243
utah,hltElectricFurnace,2015,capaConvResi,1.876
vermont,hltElectricFurnace,2015,capaConvResi,1.1393
virginia,hltElectricFurnace,2015,capaConvResi,0.6366
washington,hltElectricFurnace,2015,capaConvResi,0.8142
westVirginia,hltElectricFurnace,2015,capaConvResi,0.2651
wisconsin,hltElectricFurnace,2015,capaConvResi,1.4721
wyoming,hltElectricFurnace,2015,capaConvResi,0.4869
alabama,hltElectricFurnace,2020,capaConvResi,0.3106
arizona,hltElectricFurnace,2020,capaConvResi,2.1684
arkansas,hltElectricFurnace,2020,capaConvResi,0.2877
california,hltElectricFurnace,2020,capaConvResi,3.046
colorado,hltElectricFurnace,2020,capaConvResi,3.3398
connecticut,hltElectricFurnace,2020,capaConvResi,2.7219
delaware,hltElectricFurnace,2020,capaConvResi,0.062
florida,hltElectricFurnace,2020,capaConvResi,1.3522
georgia,hltElectricFurnace,2020,capaConvResi,0.614
