region_2,carrier_1,timestep_2,technology_1,technology_2,parameter,value
missouri,mobilityFreight,2040,frtRail,,genLow,49581.6
missouri,mobilityFreight,2045,frtRail,,genLow,54312
missouri,mobilityFreight,2050,frtRail,,genLow,59743.2
montana,mobilityFreight,2015,frtRail,,genLow,29258.4
montana,mobilityFreight,2020,frtRail,,genLow,32236.8
montana,mobilityFreight,2025,frtRail,,genLow,35390.4
montana,mobilityFreight,2030,frtRail,,genLow,38894.4
montana,mobilityFreight,2035,frtRail,,genLow,42573.6
montana,mobilityFreight,2040,frtRail,,genLow,46953.6
montana,mobilityFreight,2045,frtRail,,genLow,51508.8
montana,mobilityFreight,2050,frtRail,,genLow,56589.6
nebraska,mobilityFreight,2015,frtRail,,genLow,33463.2
nebraska,mobilityFreight,2020,frtRail,,genLow,36792
nebraska,mobilityFreight,2025,frtRail,,genLow,40296
nebraska,mobilityFreight,2030,frtRail,,genLow,44500.8
nebraska,mobilityFreight,2035,frtRail,,genLow,48705.6
nebraska,mobilityFreight,2040,frtRail,,genLow,53611.2
nebraska,mobilityFreight,2045,frtRail,,genLow,58867.2
nebraska,mobilityFreight,2050,frtRail,,genLow,64648.8
nevada,mobilityFreight,2015,frtRail,,genLow,2978.4
nevada,mobilityFreight,2020,frtRail,,genLow,3328.8
nevada,mobilityFreight,2025,frtRail,,genLow,3504
nevada,mobilityFreight,2030,frtRail,,genLow,3854.4
nevada,mobilityFreight,2035,frtRail,,genLow,4380
nevada,mobilityFreight,2040,frtRail,,genLow,4730.4
nevada,mobilityFreight,2045,frtRail,,genLow,5256
nevada,mobilityFreight,2050,frtRail,,genLow,5781.6
newHampshire,mobilityFreight,2015,frtRail,,genLow,525.6
newHampshire,mobilityFreight,2020,frtRail,,genLow,525.6
newHampshire,mobilityFreight,2025,frtRail,,genLow,700.8
newHampshire,mobilityFreight,2030,frtRail,,genLow,700.8
newHampshire,mobilityFreight,2035,frtRail,,genLow,876
newHampshire,mobilityFreight,2040,frtRail,,genLow,876
newHampshire,mobilityFreight,2045,frtRail,,genLow,1051.2
newHampshire,mobilityFreight,2050,frtRail,,genLow,1051.2
newJersey,mobilityFreight,2015,frtRail,,genLow,14016
newJersey,mobilityFreight,2020,frtRail,,genLow,15592.8
newJersey,mobilityFreight,2025,frtRail,,genLow,16994.4
newJersey,mobilityFreight,2030,frtRail,,genLow,18746.4
newJersey,mobilityFreight,2035,frtRail,,genLow,20673.6
newJersey,mobilityFreight,2040,frtRail,,genLow,22600.8
newJersey,mobilityFreight,2045,frtRail,,genLow,24878.4
newJersey,mobilityFreight,2050,frtRail,,genLow,27331.2
newMexico,mobilityFreight,2015,frtRail,,genLow,2452.8
newMexico,mobilityFreight,2020,frtRail,,genLow,2628
newMexico,mobilityFreight,2025,frtRail,,genLow,2978.4
newMexico,mobilityFreight,2030,frtRail,,genLow,3328.8
newMexico,mobilityFreight,2035,frtRail,,genLow,3679.2
newMexico,mobilityFreight,2040,frtRail,,genLow,4029.6
newMexico,mobilityFreight,2045,frtRail,,genLow,4380
newMexico,mobilityFreight,2050,frtRail,,genLow,4730.4
newYork,mobilityFreight,2015,frtRail,,genLow,14191.2
