region_1,region_2,carrier_1,timestep_2,parameter,value
usa,wyoming,biomass,2025,useUp,0
usa,wyoming,biomass,2030,useUp,0
usa,wyoming,biomass,2035,useUp,0
usa,wyoming,biomass,2040,useUp,0
usa,wyoming,biomass,2045,useUp,0
usa,wyoming,biomass,2050,useUp,0
usa,alaska,biomass,2015,useUp,1336.07
usa,alaska,biomass,2020,useUp,1467.91
usa,alaska,biomass,2025,useUp,1612.77
usa,alaska,biomass,2030,useUp,1771.91
usa,alaska,biomass,2035,useUp,1946.76
usa,alaska,biomass,2040,useUp,2138.87
usa,alaska,biomass,2045,useUp,2349.93
usa,alaska,biomass,2050,useUp,2581.82
canada,canada_,biomass,2015,useUp,150000
canada,canada_,biomass,2020,useUp,164801.89
canada,canada_,biomass,2025,useUp,181064.41
canada,canada_,biomass,2030,useUp,198931.71
canada,canada_,biomass,2035,useUp,218562.14
canada,canada_,biomass,2040,useUp,240129.69
canada,canada_,biomass,2045,useUp,263825.51
canada,canada_,biomass,2050,useUp,289859.61
